,species,include
217,"Oak, swamp white",1
218,"Oak, white",1
219,"Olive, Russian",0
220,"Pagoda, Japanese",0
221,Peach,0
222,Pear,0
223,"Pear, 'Bradford'",0
224,"Pear, 'Chanticleer'",0
225,"Peashrub, Siberian",0
226,Pine,0
227,Pine scots,0
228,"Pine, Austrian",0
229,"Pine, Eastern white",1
230,"Pine, jack",1
231,"Pine, red",1
232,"Planetree, London",0
233,"Planetree, London 'Bloodgood'",0
234,"Planetree, London 'Exclamation'",0
235,Plum,0
236,"Plum, Canada",0
237,Poplar,0
238,Poplar white silver,0
239,"Poplar, balsam",1
240,"Poplar, black 'Lombardy'",0
241,"Poplar, Chinese",0
242,"Poplar, eastern cottonwood",0
243,"Poplar, hybrid 'Carolina'",0
244,"Poplar, white 'Boleana'",0
245,Redbud,0
246,Sassafras,1
247,Serviceberry,1
248,Serviceberry 'Robin hill',0
249,"Serviceberry, smooth",0
250,"Smoketree, American",0
251,Spruce,0
252,"Spruce, black",1
253,"Spruce, Colorado blue",1
254,"Spruce, Norway",1
255,"Spruce, Serbian",0
256,"Spruce, white",1
257,Sumac Staghorn,1
258,Sweetgum,1
259,Sycamore,1
260,"Tree, of heaven",0
261,Tulip tree,1
262,Tulip tree 'Columnar',0
263,Walnut,0
264,"Walnut, black",1
265,"Walnut, English",0
266,Willow,0
267,"Willow, black",1
268,"Willow, Corkscrew",0
269,"Willow, crack",0
270,"Willow, golden weeping",0
271,"Willow, laurel",0
272,"Willow, pussy",0
273,"Willow, weeping",0
274,Winged Euonymus (burning bush),0
275,Witch-Hazel,0
276,"Yellowwood, Kentucky",0
277,Yew,0
278,"Yew, Japanese",0
279,Zelkova,0
280,"Zelkova, 'Halka'",0
281,"Zelkova, Japanese",0
282,"Zelkova, Japanese 'Village Green'",0
